2026-01-31 11:22:13,488 | INFO | avature | 0 of jobs finds - encompasshealth.avature.net
2026-01-31 11:22:15,536 | INFO | avature | 0 of jobs finds - fortress.avature.net
2026-01-31 11:22:17,956 | INFO | avature | 0 of jobs finds - mikloswiki.avature.net
2026-01-31 11:22:19,853 | INFO | avature | 0 of jobs finds - genesys.avature.net
2026-01-31 11:22:22,415 | ERROR | avature | Erro ao consultar a pagina principal, SOCKSHTTPSConnectionPool(host='sandboxsantos.avature.net', port=443): Read timed out. (read timeout=10)
2026-01-31 11:22:24,197 | INFO | avature | 0 of jobs finds - bankerslife.avature.net
2026-01-31 11:22:25,798 | INFO | avature | 0 of jobs finds - uatauspost.avature.net
2026-01-31 11:22:26,090 | INFO | avature | 58 of jobs finds - demooebbrecruiting.avature.net
2026-01-31 11:22:26,090 | INFO | avature | Consultando o subdominio demooebbrecruiting.avature.net - 0
2026-01-31 11:22:26,125 | INFO | avature | 0 of jobs finds - sandboxbac.avature.net
2026-01-31 11:22:27,733 | INFO | avature | 0 of jobs finds - bac.avature.net
2026-01-31 11:22:29,477 | INFO | avature | 61 of jobs finds - voutiquededhaas2.avature.net
2026-01-31 11:22:29,477 | INFO | avature | Consultando o subdominio voutiquededhaas2.avature.net - 0
2026-01-31 11:22:31,506 | INFO | avature | 433 of jobs finds - sandboxea.avature.net
2026-01-31 11:22:31,506 | INFO | avature | Consultando o subdominio sandboxea.avature.net - 0
2026-01-31 11:22:33,742 | INFO | avature | 485 of jobs finds - ea.avature.net
2026-01-31 11:22:33,743 | INFO | avature | Consultando o subdominio ea.avature.net - 0
2026-01-31 11:23:46,287 | INFO | avature | 48 of jobs finds - sandboxbelk.avature.net
2026-01-31 11:23:46,288 | INFO | avature | Consultando o subdominio sandboxbelk.avature.net - 0
2026-01-31 11:27:21,600 | INFO | avature | 48 of jobs finds - sandboxbelk.avature.net
2026-01-31 11:27:21,600 | INFO | avature | Consultando o subdominio sandboxbelk.avature.net - 0
2026-01-31 11:29:05,791 | INFO | avature | 48 of jobs finds - sandboxbelk.avature.net
2026-01-31 11:29:14,133 | INFO | avature | Consultando o subdominio sandboxbelk.avature.net - 0
2026-01-31 11:30:43,151 | INFO | avature | 48 of jobs finds - sandboxbelk.avature.net
2026-01-31 11:30:43,152 | INFO | avature | Consultando o subdominio sandboxbelk.avature.net - 0
2026-01-31 11:32:52,020 | INFO | avature | 48 of jobs finds - sandboxbelk.avature.net
2026-01-31 11:32:52,021 | INFO | avature | Consultando o subdominio sandboxbelk.avature.net - 0
2026-01-31 11:40:04,234 | ERROR | avature | Erro ao consultar a pagina principal, HTTPSConnectionPool(host='sandboxbelk.avature.net', port=443): Max retries exceeded with url: /careers/ (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1000)')))
2026-01-31 11:40:12,328 | INFO | avature | 48 of jobs finds - sandboxbelk.avature.net
2026-01-31 11:40:12,329 | INFO | avature | Consultando o subdominio sandboxbelk.avature.net - 0
2026-01-31 11:41:00,123 | INFO | avature | 0 of jobs finds - mobiletrust2.avature.net
2026-01-31 11:41:01,159 | INFO | avature | 0 of jobs finds - delta.avature.net
2026-01-31 11:41:01,788 | INFO | avature | 57 of jobs finds - primero.avature.net
